label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir
T4_d2_k2,4,2,2,0.29456965610234614,0.29456965610234614,0.5424424308288052,3.501516432536917,7,0.3535533905932738,1.0,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 3.501516432536917, 'converged': False}]",0.5793247999999949,1.929650699999911,results\study\20260716_103916\T4_d2_k2
T4_d4_k2,4,4,2,0.42989612320487763,0.42989612320487763,0.6549751813201861,1.7013319651429488,10,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 1.7013319651429488, 'converged': False}]",0.683066499999768,0.8017156999994768,results\study\20260716_103916\T4_d4_k2
T4_d8_k2,4,8,2,0.35503134568649564,0.35503134568649564,0.5956117119595936,2.076007601660897,13,0.04419417382415922,0.25,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.076007601660897, 'converged': False}]",0.9363987000006091,2.376336100000117,results\study\20260716_103916\T4_d8_k2
T4_d2_k3,4,2,3,0.3936482840305491,0.3936482840305491,0.7328804997955538,1.870957201676823,8,0.25,1.5,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 1.870957201676823, 'converged': False}]",0.5630872000001546,0.6818865999994159,results\study\20260716_103916\T4_d2_k3
T4_d4_k3,4,4,3,0.38714409110644354,0.38714409110644354,0.7281061792161811,1.9108855873269268,12,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 1.9108855873269268, 'converged': False}]",0.7426406000004135,0.8566671000007773,results\study\20260716_103916\T4_d4_k3
T4_d8_k3,4,8,3,0.2899095952000188,0.2899095952000188,0.6616460983917696,2.4808876802931845,16,0.015625,0.1875,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.4808876802931845, 'converged': False}]",0.8455856000000495,0.9717774999999165,results\study\20260716_103916\T4_d8_k3
