label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir
T2_d4_k2,2,4,2,0.6305066977084228,0.6305066977084228,0.7928517008906122,0.9374859111265809,8,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 0.9374859111265809, 'converged': False}]",0.7770540999999866,3.049935199999709,results\study\20260716_103916\T2_d4_k2
T4_d4_k2,4,4,2,0.4442759835597585,0.4442759835597585,0.6663197552268302,1.6288294606511429,10,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 1.6288294606511429, 'converged': False}]",0.7162739999994301,1.165836300000592,results\study\20260716_103916\T4_d4_k2
T8_d4_k2,8,4,2,0.3109230735616188,0.3109230735616188,0.5571245154372211,2.3526702343907373,12,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.3526702343907373, 'converged': False}]",0.7729316000004474,1.2276810000003024,results\study\20260716_103916\T8_d4_k2
T16_d4_k2,16,4,2,0.3003588117083388,0.3003588117083388,0.5478408197277237,2.4159569704874473,14,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.4159569704874473, 'converged': False}]",0.7889896999995472,1.255516400000488,results\study\20260716_103916\T16_d4_k2
T2_d4_k3,2,4,3,0.6174849984382258,0.6174849984382258,0.8510518348925906,0.9718812946628994,10,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 0.9718812946628994, 'converged': False}]",0.700131099999453,0.8634411000002729,results\study\20260716_103916\T2_d4_k3
T4_d4_k3,4,4,3,0.3881213965023075,0.3881213965023075,0.728679039830805,1.9063230189995175,12,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 1.9063230189995175, 'converged': False}]",0.7359121999998024,0.8554593000008026,results\study\20260716_103916\T4_d4_k3
T8_d4_k3,8,4,3,0.2706155122723167,0.2706155122723167,0.646231796666047,2.6294884870009896,14,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.6294884870009896, 'converged': False}]",0.8219644000000699,0.9553787999993801,results\study\20260716_103916\T8_d4_k3
T16_d4_k3,16,4,3,0.2524076481011205,0.2524076481011205,0.6317108800446055,2.763020178135947,16,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.763020178135947, 'converged': False}]",0.773514200000136,0.9103072999996584,results\study\20260716_103916\T16_d4_k3
