epoch,elapsed_minutes,optimization_loss,train_loss,train_ppl,test_loss,test_ppl
1,1.6943,7.35827323,7.11304129,1227.87619519,7.11304129,1227.87619519
25,2.3057,4.67721092,4.63247166,102.76775773,4.63247166,102.76775773
50,2.9135,3.97843546,3.96084280,52.50155580,3.96084280,52.50155580
75,3.5947,3.60948662,3.59638908,36.46631931,3.59638908,36.46631931
100,4.2441,3.29171166,3.27921929,26.55503294,3.27921929,26.55503294
125,4.9253,2.98438020,2.97248166,19.54035195,2.97248166,19.54035195
150,5.5724,2.70779169,2.69785400,14.84783407,2.69785400,14.84783407
175,6.2060,2.48897632,2.48144384,11.95851810,2.48144384,11.95851810
200,6.8332,2.32298919,2.31717630,10.14698181,2.31717630,10.14698181
225,7.4627,2.19130407,2.18653925,8.90434402,2.18653925,8.90434402
250,8.0777,2.08081724,2.07672703,7.97831332,2.07672703,7.97831332
275,8.6923,1.98461700,1.98100637,7.25003555,1.98100637,7.25003555
300,9.3075,1.89889906,1.89565101,6.65688072,1.89565101,6.65688072
325,9.9226,1.82122343,1.81825733,6.16111227,1.81825733,6.16111227
350,10.5386,1.74984783,1.74710428,5.73796309,1.74710428,5.73796309
375,11.1814,1.68347589,1.68091043,5.37044313,1.68091043,5.37044313
400,11.8061,1.62113695,1.61871635,5.04660809,1.61871635,5.04660809
425,12.4308,1.56210817,1.55980777,4.75790653,1.55980777,4.75790653
450,13.0491,1.50585386,1.50365539,4.49810137,1.50365539,4.49810137
475,13.6853,1.45197665,1.44986652,4.26254553,1.44986652,4.26254553
500,14.3040,1.40017938,1.39814737,4.04769413,1.39814737,4.04769413
525,14.9234,1.35023710,1.34827540,3.85077876,1.34827540,3.85077876
550,15.5409,1.30197768,1.30008033,3.66959143,1.30008033,3.66959143
575,16.1544,1.25526920,1.25343162,3.50234105,1.25343162,3.50234105
600,16.7686,1.21001188,1.20823065,3.34755642,1.20823065,3.34755642
625,17.3947,1.16613294,1.16440569,3.20401813,1.16440569,3.20401813
650,18.0106,1.12358310,1.12190828,3.07070838,1.12190828,3.07070838
675,18.6231,1.08233346,1.08071030,2.94677191,1.08071030,2.94677191
700,19.2288,1.04237261,1.04080098,2.83148407,1.04080098,2.83148407
725,19.8349,1.00370336,1.00218362,2.72422400,1.00218362,2.72422400
750,20.4438,0.96633923,0.96487209,2.62445193,0.96487209,2.62445193
775,21.0621,0.93030072,0.92888708,2.53169005,0.92888708,2.53169005
800,21.7336,0.89561150,0.89425234,2.44550669,0.89425234,2.44550669
825,22.4211,0.86229486,0.86099104,2.36550384,0.86099104,2.36550384
850,23.0757,0.83037045,0.82912264,2.29130756,0.82912264,2.29130756
875,23.7257,0.79985164,0.79866022,2.22256120,0.79866022,2.22256120
900,24.3438,0.77074351,0.76960850,2.15892087,0.76960850,2.15892087
925,24.9522,0.74304156,0.74196256,2.10005295,0.74196256,2.10005295
950,25.5568,0.71673103,0.71570723,2.04563290,0.71570723,2.04563290
975,26.1577,0.69178688,0.69081708,1.99534522,0.69081708,1.99534522
1000,26.7907,0.66817425,0.66725685,1.94888390,0.66725685,1.94888390
1025,27.3975,0.64658636,0.64652527,1.90889640,0.64652527,1.90889640
1050,27.9968,0.62580789,0.62507105,1.86837870,0.62507105,1.86837870
1075,28.5960,0.60975969,0.60829991,1.83730516,0.60829991,1.83730516
1100,29.1957,0.59085147,0.59014205,1.80424470,0.59014205,1.80424470
1125,29.8038,0.58854359,0.57451247,1.77626434,0.57451247,1.77626434
1150,30.4026,0.56372633,0.56306220,1.75604162,0.56306220,1.75604162
