label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir
T8_d2_k2,8,2,2,0.3054802579431692,0.3054802579431692,0.5526963823346436,4.318319884892624,9,0.3535533905932738,1.0,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 4.318319884892624, 'converged': False}]",0.6477363999999852,3.0717710000000125,results\study\20260716_143813\T8_d2_k2
T8_d4_k2,8,4,2,0.31097623137256236,0.31097623137256236,0.5571820500850947,2.349697565209466,12,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.349697565209466, 'converged': False}]",0.7852960000000166,2.3392580000000294,results\study\20260716_143813\T8_d4_k2
T8_d8_k2,8,8,2,0.285166853762838,0.285166853762838,0.5337380815377626,2.5156162403497317,15,0.04419417382415922,0.25,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.5156162403497317, 'converged': False}]",0.9245347000000379,2.295338000000015,results\study\20260716_143813\T8_d8_k2
T8_d2_k3,8,2,3,0.34354089864086507,0.34354089864086507,0.7003494899708244,2.1442011383749806,10,0.25,1.5,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.1442011383749806, 'converged': False}]",0.46584419999999227,0.5888151999999991,results\study\20260716_143813\T8_d2_k3
T8_d4_k3,8,4,3,0.27641663593014626,0.27641663593014626,0.6509871720922185,2.5840060552327877,14,0.0625,0.5303300858899106,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.5840060552327877, 'converged': False}]",0.648900900000001,0.7961430999999948,results\study\20260716_143813\T8_d4_k3
T8_d8_k3,8,8,3,0.22439403662887242,0.22439403662887242,0.6073395020231231,2.996313055836085,18,0.015625,0.1875,False,"[{'k': 3, 'epochs_run': 300, 'final_loss': 2.996313055836085, 'converged': False}]",0.8515431000000149,0.9753946000000155,results\study\20260716_143813\T8_d8_k3
