label,T,d,k,mean_O_ij,obar,obar_k_root,final_loss,n_qubits,reference_haar,reference_advantage,converged,training_phases,elapsed_seconds,wall_seconds,run_dir
T4_d2_k2,4,2,2,0.2870398213959451,0.2870398213959451,0.5357152735497976,3.507716637421052,7,0.3535533905932738,1.0,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 3.507716637421052, 'converged': False}]",0.6186759000001985,2.187808600000153,results\study\20260716_100201\T4_d2_k2
T4_d4_k2,4,4,2,0.43883552427364964,0.43883552427364964,0.6620123046754826,1.656446245828521,10,0.125,0.5,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 1.656446245828521, 'converged': False}]",0.698918500000218,0.8276737000001049,results\study\20260716_100201\T4_d4_k2
T4_d8_k2,4,8,2,0.3533781949883338,0.3533781949883338,0.5941174157683335,2.08684454154195,13,0.04419417382415922,0.25,False,"[{'k': 2, 'epochs_run': 300, 'final_loss': 2.08684454154195, 'converged': False}]",0.9957940999997845,2.5881705000001602,results\study\20260716_100201\T4_d8_k2
